OBJECTID,Código de localidad,Nombre de localidad,Dirección,Nombre del Sitio,Nombre del puesto,Número del puesto,Código del puesto,Long,Lat,CoorX,CoorY
229,12,BARRIOS UNIDOS,Carrera 62 No. 83 - 02 / Avenida Calle 80 No. 58 - 84 *,Entre R√≠os,Conjunto Residencial Entrer√≠os - Parqueadero,5,160011205,-74.07541462,4.680300152,-8246037.436,521589.0213
230,12,BARRIOS UNIDOS,Avenida Carrera 68 No. 75 A - 50,Metr√≥polis,Centro Comercial Metr√≥polis,6,160011206,-74.08229831,4.680544727,-8246803.725,521616.3383
392,12,BARRIOS UNIDOS,Calle 74 A No. 62 - 44,Sim√≥n Bolivar,Colegio Distrital Tom√°s Carrasquilla - sede A,7,160011207,-74.08023466,4.675761623,-8246574,521082.1059
231,12,BARRIOS UNIDOS,Av. Calle 68 No. 62 - 11,Jos√© Joaqu√≠n Vargas,Fundaci√≥n Universitaria Monserrate - UNIMONSERRATE,8,160011208,-74.0831481,4.672682597,-8246898.323,520738.2065
232,12,BARRIOS UNIDOS,Carrera 57 A No. 74 A - 32,San Fernando,Colegio Rep√∫blica de Panam√°,9,160011209,-74.07670481,4.672777722,-8246181.059,520748.8311
233,12,BARRIOS UNIDOS,Calle 66 A No. 56 B ‚Äì 35 / Calle 66 A No. 56 - 25,Popular Modelo,Colegio Distrital Jorge Eliecer Gait√°n - Sede A,10,160011210,-74.08165929,4.665450646,-8246732.59,519930.4689
238,12,BARRIOS UNIDOS,Carrera 28 B No. 65 - 80,La Paz,Colegio Distrital Francisco primero Sede Manuela Ayala,16,160011216,-74.07520914,4.660220166,-8246014.562,519346.2811
242,12,BARRIOS UNIDOS,Carrera 28 No. 63 - 64,Benjam√≠n Herrera,Colegio Distrital Francisco Primero Sede Alemania,20,160011220,-74.0756793,4.652273764,-8246066.9,518458.7625
786,12,BARRIOS UNIDOS,calle 66 A No. 43 25 / calle 66 A No. 56 25,San Miguel,Colegio Distrital Jorge Eliecer Gait√°n - Sede A,23,160011223,-74.08108761,4.665057627,-8246668.951,519886.5728
787,12,BARRIOS UNIDOS,Carrera 60 No. 63 A - 52 / Avenida Carrera 60 No. 63 - 64 *,Plaza de Los Artesanos,Plaza de Los Artesanos,24,160011224,-74.08583787,4.664194991,-8247197.746,519790.2255
874,12,BARRIOS UNIDOS,Avenida Calle 72 No. 58 - 75,Jorge Eliecer Gait√°n Sede B Primaria,Colegio Distrital Jorge Eliecer Gait√°n - Sede B,26,160011226,-74.0798393,4.672517881,-8246529.989,520719.8092
875,12,BARRIOS UNIDOS,Calle 78 No. 58 - 60,Rep√∫blica de Panam√° Sede C,Colegio Distrital Rep√∫blica de Panam√° - Sede C,27,160011227,-74.07657953,4.676408762,-8246167.113,521154.3856
151,7,BOSA,Calle 63 Sur No. 81 A - 30,Bosa,Colegio Distrital Argelia,1,160010701,-74.18578013,4.611585041,-8258323.268,513914.473
154,7,BOSA,Carrera 88 C No. 66 A - 03 Sur,La Libertad,Colegio Distrital Jos√© Francisco Socarr√°s,6,160010706,-74.19449058,4.62512538,-8259292.911,515426.6866
